"","GSM1274110","GSM1274111","GSM1274112","GSM1274108","GSM1274109"
"Gart",7.2960854093,7.0417648899,6.87777516206667,6.15939693583333,7.78028954313333
"4930417G10Rik",5.0454770652,5.2371263067,5.1873333984,5.15860945763333,5.08726790696667
"4930547M16Rik",5.11405406426667,5.03680973966667,5.39007768153333,5.1197333426,5.1499970298
"Itpr3",10.83556177,10.75431747,10.73483572,9.96130640533334,10.4513038766667
"Galnt7",9.1747408394,10.0485324186667,10.3009758736667,11.5545563506667,10.70588954
"Elf2",8.08913878953333,8.45052075346667,8.21423138066667,6.44392314353333,8.1490631014
"BC048943",5.18933300753333,5.04420669221667,5.368805889,5.04874379423333,5.10192646596667
"Eif4ebp1",10.0840322043333,11.09441893,10.3433938056667,10.8442904,11.322644849
"Gm10436",5.1449520433,5.22644155323333,5.39793708996667,5.4643098739,5.51194055506667
"AI195470",4.9591230562,5.15020232261667,5.3277088205,4.99558102146667,5.0898158235
"En2",5.86422825473333,5.61939055693333,6.2420636308,6.12809329306667,5.56737403063333
"Ppih",5.57636127336667,5.05974405893333,5.0845136733,6.492871439,5.41133810676667
"2700078K21Rik",9.439995348,9.3259984217,8.8852082694,9.72869054156667,9.9813670539
"Nck2",9.2541633504,9.71173205813333,9.12392008946667,9.6988430956,10.492648639
"Olfr671",5.26166368896667,5.22879427746667,5.27705850746667,5.0793187777,5.0606078436
"Thoc7",9.46065124036667,9.18551077196667,9.44980521426667,7.44291302873333,9.03940541226667
"H28",5.44659560666667,5.4074409548,5.28372981903333,5.100212508,6.90927158336667
"Gm757",7.99203286366667,6.73721252176667,6.7426726166,8.47673584086667,8.63904058466667
"Arhgap26",5.91088130566667,5.85070957666667,5.88865294876667,5.11546320766667,5.70821535786667
"Csf1",7.471872668,7.3539478332,7.68265974566667,8.82930456816667,7.0431378615
"Upp2",5.00249093763333,5.00108937343333,5.0724974189,5.36485245596667,5.09449459883333
"Sumo3",7.74281965806667,7.70673721726667,7.630194263,7.2094953377,8.0283598702
"Fgf12",5.10313101443333,4.99069216583333,5.3188602536,5.12613347336667,5.0663024934
"Cblb",7.52637369253333,8.08163256986666,7.96527588473333,6.12635010046667,7.92535297093333
"Txnip",10.0212522916667,8.739813569,8.39185179,9.25997803893333,10.84637529
"Cp",5.06560536703333,5.0027641609,4.94655874665,5.19172493293333,5.16354802543333
"Akirin1",7.7771007188,7.92976568073333,7.4500347204,6.1426957482,8.08053944546667
"Col4a1",5.23728343083333,5.09174125876667,5.04119228543333,5.03686227986667,5.0893189979
"Snrpd1",6.9195113287,7.0395002119,6.9623659609,5.05596274176667,6.53307452126667
"Fcgr2b",8.12772669146667,8.28221517353333,8.40620986226667,6.9129086701,7.96838759326667
"Gm9265",5.09722441153333,5.49059290976667,5.31760008003333,6.54140353773333,5.20184730183333
"Pebp1",16.03238107,15.8227952,16.25915473,16.7479135,16.60149182
"Sik2",6.40716445333333,6.46652561913333,6.34473588693333,5.62736731153333,5.7481582355
"Gm505",5.8224299328,6.01336243236667,6.3137234364,5.43445799066667,5.46907321016667
"Ntn5",5.30609258053333,5.00904475803333,5.13518643046667,5.10995656496667,5.14827971043333
"Sec24a",5.81887166663333,6.2059333012,6.23776908773333,5.05204815433333,5.90330660323333
"Ctxn2",5.35502620896667,5.47075273766667,6.3217995058,5.10594719093333,5.20255570873333
"4930578E11Rik",6.51446926093333,5.3545985053,5.18977646603333,5.51420227086667,5.0348094777
"Epha7",4.993316383,5.03088296035,5.10402267728333,5.73379000446667,5.18090839516667
"4933409D19Rik",5.06619480156667,5.0044408196,5.2229205715,5.2201277963,5.06012567143333
"Exoc8",7.313317224,7.1424916821,7.149464217,6.11952484256667,6.66046388653333
"Pknox2",5.3797401051,5.22385092396667,5.19553231866667,5.10170110456667,5.0957737552
"Atp12a",5.40776565043333,5.54532202036667,5.31012783663333,5.44038565633333,5.46951903226667
"Anxa1",8.27382150386667,8.62602851966667,8.26057887826667,7.50524615573333,8.1263883404
"Gcn1l1",8.65329974,8.28130169546666,8.29041179526667,8.0366181258,8.67715603546666
"Krtap1-4",5.3320154577,5.41153164686667,5.6338228754,5.3120448499,5.4637536142
"Stx3",5.54266632296667,5.55747609783333,5.10477887533333,6.3832076612,5.64822366873333
"Myh6",5.13065586553333,5.61973885816667,5.4061994064,5.81819019833333,5.23482419246667
"Gkn2",5.0006831536,4.96322034946667,5.0944594699,5.1255578234,5.1520361379
"Uggt2",6.6456761602,5.91225764653333,7.0032948031,7.55454257073333,6.30812306666667
"Rexo2",8.80439666503333,8.24026913786667,8.52344596353333,9.8533158095,8.94929207286667
"Amz1",8.3946433986,7.73943091466667,7.72824666066667,6.30162495693333,7.0412184793
"Uchl5",8.36000325486667,8.7043568058,8.62816361393333,7.5305807122,8.3611722086
"Batf",9.3098677227,9.2333034885,9.16670507856667,8.0903937924,8.9258094715
