"","EE_50.300","EE_50.330","EE_50.360","EE_50.390","EE_50.420","EE_50.450","YA","AdultSPE9"
"ZK836.2",4.80442533967831,5.19228097692443,5.14861690445744,4.74259373605921,5.02995637181767,5.15257690143957,5.99068489691713,5.90397099490907
"ZK836.3",6.78305061005877,6.51879161628299,3.79623433517576,6.35549910273599,6.74592301411688,6.97188838007859,1.61599062416682,1.3547342399706
"ZK836.1",2.07203031862261,2.46973232367474,1.01700256496419,1.23903136345024,1.96198627136921,2.77349635731249,3.25387584235079,2.33548611430738
"ZK836.15",0,0,0,0,0,0,1.2726323974533,0
"K12F2.2",4.7530054281952,5.06762150905517,5.03142607554782,4.80076532836687,4.56426840737065,5.0236456966706,3.49638564924248,2.74973161914257
"ZK836.4",0,0,0,0,0,0,0,0
"K12F2.1",5.63504041137665,6.49053483276028,4.28550579324974,5.25353551719705,5.95830678383852,6.43450146504695,4.38522393691694,2.74764734064153
"K12F2.5",0,0,0,0,0,0,0,0
"K12F2.4",0,0,0,0,0,0,0,0
"K12F2.3",0,0,0,0,0,0,0,0
"T04H1.3",0,0,0,0,0,0,3.07236995588702,0.900521775482763
"T04H1.2",4.81030941956511,5.00923070558901,6.0011311703498,5.31255990060484,5.29099199210852,5.12950970835468,6.55071292974238,7.13845612565114
"T04H1.11",0,0,0,0,0,0,0,0
"T04H1.4",4.07200286969515,4.0565315071746,3.23929263115304,4.75934761212205,4.10352281740756,4.18397077218344,5.08256635107141,4.63938846604243
"T04H1.5",5.15033220672287,4.43049938622259,5.22092579490041,5.34033082109967,4.89772930984281,4.34102505351785,4.96337701623289,5.51767883549196
"T04H1.6",1.04790826315095,1.83810465328534,0.668380583794551,1.46313066406938,1.72441453225537,2.4277751030168,1.01462666552973,0.667168212436552
"T04H1.7",0.0686510014148334,0.0766978170320865,0,0.094050230646851,0.0741539678397397,0.135321831606022,0.890571208523692,0.270792042044065
"T04H1.8",1.20474797359046,1.6891649501036,0,0.840044212370275,1.24037539449809,2.10264469525888,0.354671058980285,0.11082945454486
"T04H1.9",0,0.111035854199316,0,0,0,0,1.95141248254267,4.00101854374169
"F55C5.1",0,0,0,0,0,0,6.87137548502621,3.26406045828957
"F55C5.2",0,0,0,0,0,0,2.94467669225663,1.06136147114433
