"","L1","LIN35","L2","L3","L4","L4MALE","YA","AdultSPE9"
"Y65B4A.7",0.443603469056573,1.09942313894882,0.533573314985203,2.40035211598415,3.62465072225823,5.216594549134,2.97267059989877,0.927471734596053
"Y65B4A.1",3.90734256924916,4.1430178380537,4.00415078822466,4.00400692603029,4.18840092460321,3.48311924685047,5.09741696359447,5.18533138059603
"Y65B4A.8",3.02292880133924,2.82724996224349,3.52859632203435,3.67180286866565,3.65506555119503,3.37335031590328,3.98094840282061,3.74376268446998
"Y65B4A.9",0.0324598849291142,0.122707303337794,0.133106841144182,1.87612202381468,3.33177256362273,4.32369431472354,2.59614323127509,0.355135825859624
"Y18H1A.14",0.0692485983461245,0.564886375994339,0.369827147223798,0.150525883322789,0.0648394045694797,0.297578822827765,0.0307418830163865,0.0670531226616953
"Y18H1A.11",2.3739404788422,3.18017014444902,3.25366409391304,2.42400298413719,4.18166711143355,4.87714545633021,2.66301664509469,1.95604921582086
"Y18H1A.1",0.058447007692455,0.147459101854209,0.12151412241529,0.647016037689287,3.00462003891084,4.57061472176119,3.05464186688315,0.386521826795998
"Y18H1A.4",4.91553524158566,5.13586316536868,5.14306683237807,4.85647781953696,4.89139002155719,4.10339692449223,5.22178430027756,4.87316846683311
"Y18H1A.2",4.11666417800218,4.46633998797947,3.69498045383547,3.55731205268921,4.04493612112532,3.27497276818153,4.38770718024923,4.90325523667446
"Y18H1A.3",4.32229593522514,4.37263177291362,4.15256473348939,4.39718003209937,3.39580726843514,3.64092165094943,4.34418226346131,5.0851229301112
"Y18H1A.7",1.02140865693871,1.54541984309618,2.07452598742866,2.81851929186136,3.07743443391405,1.97217061639226,3.97392347363668,4.46237957184102
"Y18H1A.6",1.76072340660348,2.29807466843049,1.90071033650223,2.42102127410647,2.68834375777083,1.60801909167402,3.75595576955096,4.79311555527435
"Y18H1A.13",0.0151801073057206,0.729574522194115,3.61559285651096,4.34344335622082,1.94125658385328,2.2374597034753,0.321377457391442,0.315944098533894
"Y18H1A.17",0,0,3.02824026510698,2.77970517431699,1.36544618872404,2.05055741905176,0,0
"Y18H1A.9",1.01382668410208,2.66003869115359,5.6897212827888,3.41747584638162,4.33111041924931,2.8372953970029,1.5445694626881,0.864501942657831
"Y18H1A.t1",0,0,0,4.55690144836871,0,3.91495671485414,0,0
"Y18H1A.8",0.285867357534028,1.26272780055964,2.31008995421904,1.36123496888804,2.44016022540182,7.36722252471881,0.810846138388963,0.40346624969799
