"","EE_50.0","EE_50.30","EE_50.60","EE_50.90","EE_50.120","EE_50.150","EE_50.180","EE_50.210","EE_50.240","YA","AdultSPE9"
"T03F1.2",5.0508934443564,5.04584919578002,5.18576349198504,5.32262402736438,4.78270210672751,6.24610210919885,5.43073688092902,5.67791410171251,5.53474019694354,4.54156439872764,4.54455338962756
"T03F1.10",0.185414958655356,0.335267144169617,0.157994411052165,0.527640893163663,0,0.154129500790182,0.156296938395957,0.172844624739704,0,3.22373607806272,2.60197457093585
"T03F1.1",5.9623130272042,5.28890113203662,5.18193341196351,4.98480350587222,4.90055771216808,4.28903766509785,4.55652138202786,4.52173547751092,4.6744437025058,5.93079409821839,6.03959026227437
"T03F1.12",6.49546492695995,6.31444457575464,5.74012344112066,5.57498550872127,5.5162641921768,5.55478835953679,3.5501495784051,3.50764243577027,4.16873829758578,5.43904461388883,5.92021230118791
"C50F2.3",5.2872765043936,5.86360647346863,6.00534384191779,5.95900502728608,6.02231232369054,5.65766286865646,4.96890175193629,5.45927094592466,4.1643759976475,5.57678211402042,5.62650630514571
"C50F2.2",3.92187425253406,4.42106841583129,4.2718140876706,4.06819785932945,4.72738683092857,2.78456679847238,1.92120779712455,2.44132411565875,1.22721121008704,4.1270719390531,5.12323163416906
"C50F2.4",1.27580567408018,2.37175678400685,3.23209124028769,3.40384986459209,2.77692724767761,5.83868709735922,5.05388027916093,6.49428919302639,4.59467991480658,3.44646269257092,2.57205047904582
"C50F2.10",0,0,0.809652335529747,0.371286746059893,0.336678717840817,1.1246523740547,0,0,0,2.23057194190465,4.6819214654401
"C50F2.9",0,0,0,0,0,3.48448619257311,0,0,0,1.91834806740602,4.07977915958195
"C50F2.5",0.149847251257354,0,0.24377386751057,0.433486161956129,0,0.119918668631246,0.290345366076641,0.26160783715618,0.426400026183536,2.54672657287835,0.3879657436058
"C50F2.6",5.13237531189856,4.84370753546205,5.15352568550016,5.0805510773276,5.01489084766028,7.06459188679144,8.1568718542284,8.75139676947837,9.02145474209679,4.10107012521217,3.86286792240145
"C50F2.7",0.745209790485021,0.739254488679274,0.823306702910063,1.3087161750504,0.488952995273602,0.70746559766585,0.492985263761112,0.535742438663313,0.612842200571657,1.98221419484288,1.53866728029959
"C50F2.8",0.568860990507081,0.868629087970973,1.49697358099828,2.23077173881168,1.4329326904539,1.935863268804,1.84581919876714,2.68690386513838,2.3293102014918,0.960612532148697,1.69610067545141
"T20F5.2",9.43324532978125,9.42627523936633,8.8959660067055,8.9047249283904,8.56339077978383,8.04470557671116,6.66898423259962,6.8289488625347,6.51726466820535,8.41115079891619,8.32593951682838
"T20F5.3",3.41247127868225,4.69939060846568,4.25383803240908,4.52157217440114,4.67804372719994,6.97653548402356,5.64189567842049,5.50447420884814,4.93130011535556,4.53277824872874,3.90546643379942
"T20F5.8",0,0.373657119409708,0.321803440650689,0.254373933621651,0.432175864565462,1.1441508143457,0.640514503372968,0.385702707674392,1.06832686143451,0.625685701319928,0.376856013408212
"T20F5.4",1.632198405986,0.795757806252595,0.526318256119145,4.12595686506717,0.645810467524298,0.265397287405259,1.87155192657735,2.48807020368392,3.3446779717491,0.749536841992688,1.26925462205407
"T20F5.5",0.976945729144158,0.747010939264739,0.419031836684564,1.58984017305531,0.928392306775908,8.15748597219303e-07,0.633221940458689,0.403633122442714,1.76424293861158e-09,2.32273866175238,1.84979914918894
"T20F5.6",6.01205461064658,6.35231891340251,6.11962178113503,6.05370437080071,6.12323577347493,3.47294260360046,3.21657592538349,3.47071906135082,2.69918735934211,5.1779735859528,6.08692385154984
"T20F5.7",5.48873671759348,5.67768300130168,5.61623123212839,5.73129730557146,5.79904325760039,6.10342000568246,5.67433070372049,5.66333607931491,5.8473756124297,5.50274748696506,5.33961844065344
"T21E3.1",4.67959269570006,3.65038545727133,3.48742203376371,2.87108071050066,3.17286190197669,1.64007484004324,1.76356454727711,1.11237986894091,1.6532801890536,5.26025152998653,5.34603851847658
"T21E3.3",0.619191365563318,1.21563511321728,2.17070384649515,1.68025683443517,2.08131917321846,2.50657655492181,0.858222949619365,1.74354512710556,0.776904935324964,2.6990185186262,3.13393664496065
"F47B3.5",0,0,0.282312877844966,0,0.681952040691607,0,0,0.3307327748968,0.686877875646954,3.58262825638207,0.421425296057552
"F47B3.3",0,0,0,1.27898982170382,0,0.869806670939673,0.446873412504561,0.480678738754799,0.564487433637464,2.65653069278696,1.17146946113417
"F47B3.7",0,0.140770804359848,0,0.2736471734531,0.253184520062931,0.331168619875508,0.288424714963385,0.37413362125222,0.295797067273369,3.9079193511918,0.511493340615575
"F47B3.2",0.50909279858503,0,0.799895486369267,0.365981383189508,0.601658487774392,0.653603964251816,0.955247326371672,1.00954066532436,1.17042504905324,4.65539190291822,0.830781836113016
"F47B3.1",0.640699584697403,0.276310845272407,0.460733129240817,0.586430417229983,0.546501869985923,0,0,0,0,2.65236258417805,0.576169946741099
"F28H1.4",0.711286086210082,0,0,1.56756978439936,0.492005949786536,0,0.413260447683708,0.726029884712938,0.893274442527761,4.36709843763008,2.14438252409166
"F28H1.5",0,0,0.475497912040442,0,0,0,0,1.06236352270694,0,3.58537120641883,0.659541006208262
"F28H1.3",7.91956057003949,7.76218933427533,7.52891507439219,7.53403046657407,7.3513633113066,4.18509743144154,5.05291577719142,4.65226849669302,4.24843616359601,6.90941310537723,7.37892772527293
"F28H1.2",1.57978838527208,0.726909669614575,0.24917103607916,5.61188646720128,0.840571192767873,1.51058221272409,4.79454583302205,5.08531842185126,6.19121322542216,9.68196748263348,8.07166614894957
"F28H1.1",6.84335579343509,7.35164599522504,7.89086008280207,8.09109153168244,7.82690435054434,7.69995411405475,6.93662616185213,6.55039587927739,6.29186689361437,2.95705652483171,4.9016682167373
"F55C7.7",3.22845547034503,3.64323281085752,4.10038901569461,4.34637544056141,4.24289208284275,3.5519343077841,2.36108052955364,3.20614775944312,1.43368591515452,4.56149111120609,4.85012431429571
"C09D1.1",0.232214987248844,0.37460996576485,0.290811272654969,2.30563205332688,0.371104934680895,0.373454447093508,0.120070408188929,0.69488910517346,0.283505789582502,3.87773443566364,3.07003891654408
"C24G7.4",0.0775211182570956,0,0,0.505683654426487,0.0458059753812694,0.0576614014356735,0,0.132569999311281,0.077287578204209,2.34555534129313,1.40706989535638
"H31G24.4",8.53875929991183,8.39572691033833,7.10105120984473,7.48319504308477,7.17068622296477,5.93522399406003,4.47630391215328,4.11636475669178,3.39973438701982,7.25870735219683,7.21559124025381
"H31G24.3",3.11161895733771,2.98152024728018,1.66802832918995,2.00623338396882,2.08888446816847,0.646005012218034,0.702276320144097,0.976208908933475,0.456570673774643,3.33161350472155,3.40030292602512
"H31G24.1",0,0,0,0.485784365133752,0,1.09194350632682,0,1.76435464848846,1.61855817481216,0.209141397838592,0.748866504682405
"E01A2.3",1.08146234676327,0.777417611310043,0.638941279195877,1.21703834405679,0.971916146490417,1.54595848759857,1.27575800728826,1.62524710676963,2.32166838640554,1.7631608339561,1.06008889947665
"E01A2.4",5.78764141448333,6.57113524268182,6.0594353193567,6.17160516317601,6.83646700330301,5.40892580417569,4.1811025507538,5.00344032914945,3.25885506213685,5.67023701006815,5.98165860688842
"E01A2.2",7.00896638095641,7.55900226618952,7.52262860687152,7.64259327900988,7.66125792134944,7.62613976101872,5.41883085340942,5.68593174110772,3.99877318774614,6.33722226248605,6.58517588358157
"E01A2.5",6.19668768987832,6.16709494594284,6.0289801556528,6.21447649713031,5.72059313108514,7.50620045366863,6.33293344898559,6.12976314839113,5.46649008686769,4.18064915196729,4.32597638276786
"E01A2.6",8.90418300324503,9.06506332803141,8.89565404153492,8.95803934365547,9.01122725542325,7.74603726277102,8.03352762066687,7.42540055644707,7.45074112890335,7.66447572927144,8.72144785485153
"E01A2.9",0,0,0,0,5.37118245828555,0,0,0,0,4.64587455030903,1.782328878989
"E01A2.1",7.17484580789979,7.00562454919388,6.5713886061883,6.78055945163613,6.47961537517346,7.48002271341054,6.43738922061902,6.44292193817556,6.47352230668905,6.19173634476984,6.44911397074317
"E01A2.7",0,0.275072623056841,0.645399163478585,0.665812055892694,0.684082618257356,1.78379607208699,1.12263959111794,1.38404427921736,0.438998588021621,3.46860938172243,0.868848723637012
