"","DauerEntryDAF2","DauerDAF2","DauerExitDAF2","YA","AdultSPE9"
"F09F7.6",8.72010058025791,9.06111733161037,7.55442001578333,4.55992003061808,7.48550733245979
"F09F7.7",8.10595563758491,9.16346854164108,7.48374323770113,5.32008748507197,6.16851969329768
"F09F7.4",4.12802113757868,4.42600974420491,5.24757438960219,7.48340467150571,6.0716404090988
"F09F7.3",4.89060719938266,5.17084242402734,4.8218326450624,5.73579834248084,5.16988492602346
"F09F7.2",11.1079297452295,10.3378225720447,9.39520635904493,9.65548779048834,7.59288305528059
"F09F7.8",2.75864643203976,1.41529355492434,1.9738573667325,3.61735726159132,1.63199826665715
"F09F7.1",4.82977853935341,5.12359584763078,4.04870700782826,1.67035996171203,1.31261870920177
"F56D2.5",2.59732378307958,2.647547072125,2.65578228290937,1.86035103696282,1.46573943621404
"F56D2.8",0.213878531214977,0.349566833150926,0.0770695916097788,0.205789105765822,0.498515379925901
"F56D2.3",1.61790026398139,0.753946772087765,0.550392431355382,1.07908109274705,0.699957555481611
"F56D2.2",3.49680745065816,3.88374787732664,3.2104777052896,4.85163412087045,4.78214642355464
"F56D2.6",5.35860021670954,5.32262042236168,5.40898692496205,6.42117784603993,7.0497832183846
"F56D2.1",8.14110576043013,7.81859495877566,8.2228818241349,8.52280512675455,8.05169836798623
"F56D2.9",10.2364687008249,8.52441242496207,7.24636057938301,0,1.32757240381574
"F56D2.7",3.60252814373553,3.95315347005995,3.40506383639443,4.81092118085675,5.21371665770184
"C05D2.10",5.40790674299729,5.89180314150475,4.89395916493574,5.47462423680799,6.28574250678823
"C05D2.6",3.70979791634347,4.207635204522,3.40541244305514,4.95140595454667,5.31886633478702
"C05D2.14",6.79099353292193,5.26404468994485,0,0,0
"C05D2.15",13.7498380094798,10.6223630272041,11.3328309870577,7.15489910018449,2.44068914125108
"C05D2.17",7.8529788674005,6.60485563518719,7.32052078104546,2.53519449010307,0
"C05D2.16",0,0,0,0,0
"C05D2.5",3.1951522857734,3.92238816500384,2.94231931778251,5.73747044908606,6.45365420406551
"C05D2.8",4.15836934524241,3.40418922556492,3.62815533148034,5.62036060514318,4.44802211923719
"C05D2.4",3.83568158412171,2.88500224871857,4.31820113182951,4.11122332499201,2.76688557955094
"C05D2.3",0.186822529218763,0.209828885364335,0.195212772485826,2.54617586511353,0.286676554394866
"C05D2.1",5.04037521153215,5.16281022858941,4.85981553329836,3.78021559627311,4.66325352288055
"C05D2.11",6.26328610410487,4.02340617969074,4.65734274739842,1.67245702433824,2.53215235552165
"C05H8.1",3.61341378086092,3.64431777833758,3.05079072990043,2.47685084362488,1.36816488867
"C05H8.3",17.1948241714396,18.285934966836,21.5752359268145,5.49837534248218,3.39675272475513
"C05H8.4",8.58674973396536,7.32574618001434,0,0,0
"F54E7.5",0.0957537837996221,0.033311634397504,0.0673380323020558,0.567348791597207,2.43239557738434
